iter	Passed	Remaining
0	147	51891
1	152	26636
2	156	18188
3	160	13975
4	164	11438
5	169	9766
6	171	8428
7	175	7538
8	177	6764
9	181	6220
10	186	5775
11	190	5398
12	194	5081
13	199	4811
14	203	4570
15	208	4374
16	212	4191
17	217	4027
18	221	3883
19	226	3751
20	230	3629
21	234	3520
22	238	3418
23	243	3323
24	247	3239
25	252	3162
26	256	3091
27	261	3023
28	265	2957
29	270	2899
30	274	2843
31	278	2787
32	283	2738
33	287	2692
34	292	2645
35	296	2601
36	300	2560
37	305	2521
38	309	2481
39	313	2444
40	317	2408
41	322	2376
42	326	2345
43	330	2314
44	335	2287
45	339	2259
46	343	2231
47	348	2206
48	353	2184
49	357	2160
50	362	2139
51	367	2117
52	371	2096
53	376	2075
54	380	2053
55	384	2033
56	388	2012
57	393	1993
58	397	1974
59	401	1955
60	405	1936
61	410	1919
62	414	1901
63	419	1885
64	423	1869
65	427	1853
66	432	1838
67	436	1823
68	440	1808
69	445	1792
70	449	1777
71	453	1765
72	458	1751
73	462	1737
74	466	1724
75	471	1712
76	475	1698
77	480	1686
78	484	1675
79	489	1663
80	493	1651
81	498	1639
82	502	1628
83	506	1616
84	511	1605
85	515	1595
86	520	1584
87	524	1573
88	528	1563
89	533	1552
90	538	1543
91	542	1532
92	546	1523
93	551	1512
94	555	1503
95	560	1494
96	565	1486
97	569	1477
98	574	1467
99	578	1458
100	583	1449
101	587	1440
102	592	1432
103	597	1424
104	601	1415
105	606	1407
106	611	1399
107	616	1392
108	621	1385
109	625	1377
110	631	1370
111	636	1363
112	640	1355
113	645	1348
114	650	1340
115	654	1332
116	659	1325
117	663	1316
118	668	1309
119	673	1301
120	678	1294
121	682	1285
122	686	1277
123	690	1269
124	694	1260
125	698	1253
126	702	1244
127	707	1237
128	711	1230
129	715	1222
130	719	1214
131	724	1206
132	728	1199
133	732	1191
134	737	1184
135	741	1177
136	745	1169
137	749	1162
138	753	1155
139	757	1147
140	761	1140
141	766	1133
142	770	1125
143	774	1119
144	778	1112
145	783	1105
146	787	1098
147	791	1091
148	796	1084
149	800	1077
150	804	1071
151	809	1064
152	814	1058
153	818	1052
154	822	1045
155	827	1039
156	831	1032
157	835	1026
158	840	1019
159	844	1013
160	848	1007
161	853	1000
162	857	994
163	861	987
164	865	981
165	870	974
166	874	968
167	878	962
168	883	956
169	887	950
170	892	944
171	896	938
172	901	933
173	906	927
174	911	922
175	916	916
176	921	911
177	926	905
178	931	900
179	938	896
180	943	891
181	948	885
182	953	880
183	957	874
184	961	868
185	965	862
186	970	856
187	974	849
188	978	843
189	982	837
190	987	832
191	991	826
192	996	820
193	1000	814
194	1004	808
195	1008	803
196	1013	797
197	1017	791
198	1022	785
199	1026	780
200	1030	774
201	1035	768
202	1039	762
203	1043	757
204	1047	751
205	1052	745
206	1056	740
207	1060	734
208	1065	728
209	1069	723
210	1074	717
211	1078	712
212	1082	706
213	1087	700
214	1091	695
215	1095	689
216	1100	684
217	1104	679
218	1108	673
219	1113	667
220	1117	662
221	1121	656
222	1126	651
223	1130	646
224	1134	640
225	1138	634
226	1143	629
227	1148	624
228	1152	619
229	1156	613
230	1161	608
231	1165	602
232	1170	597
233	1174	592
234	1178	586
235	1183	581
236	1187	576
237	1191	570
238	1196	565
239	1201	560
240	1206	555
241	1210	550
242	1215	545
243	1219	539
244	1223	534
245	1228	529
246	1232	523
247	1236	518
248	1240	513
249	1244	507
250	1249	502
251	1253	497
252	1257	492
253	1261	486
254	1266	481
255	1270	476
256	1275	471
257	1279	466
258	1283	460
259	1287	455
260	1292	450
261	1296	445
262	1301	440
263	1305	435
264	1310	430
265	1314	424
266	1318	419
267	1322	414
268	1326	409
269	1331	404
270	1335	399
271	1339	394
272	1344	388
273	1348	383
274	1352	378
275	1357	373
276	1361	368
277	1366	363
278	1370	358
279	1374	353
280	1378	348
281	1383	343
282	1387	338
283	1392	333
284	1396	328
285	1400	323
286	1405	318
287	1409	313
288	1414	308
289	1418	303
290	1422	298
291	1426	293
292	1431	288
293	1435	283
294	1439	278
295	1444	273
296	1448	268
297	1453	263
298	1457	258
299	1461	253
300	1466	248
301	1470	243
302	1475	238
303	1479	233
304	1484	228
305	1488	223
306	1492	218
307	1497	213
308	1501	208
309	1506	204
310	1510	199
311	1515	194
312	1519	189
313	1524	184
314	1528	179
315	1532	174
316	1537	169
317	1541	164
318	1545	159
319	1550	155
320	1554	150
321	1559	145
322	1563	140
323	1567	135
324	1572	130
325	1576	125
326	1580	120
327	1584	115
328	1589	111
329	1593	106
330	1597	101
331	1601	96
332	1606	91
333	1610	86
334	1614	81
335	1619	77
336	1623	72
337	1628	67
338	1632	62
339	1636	57
340	1640	52
341	1645	48
342	1649	43
343	1653	38
344	1657	33
345	1662	28
346	1666	24
347	1671	19
348	1675	14
349	1680	9
350	1684	4
351	1689	0
